Text,Label
"O abrigo estava limpo e confortável.",Positivo
"Fui muito bem recebido pelos voluntários.",Positivo
"A comida oferecida era excelente!",Positivo
"O ambiente estava muito barulhento.",Negativo
"Tive dificuldades para encontrar o abrigo.",Negativo
"O local estava sujo e mal organizado.",Negativo
"Foi uma experiência neutra, nada de especial.",Neutro
"Recebi o necessário, mas poderia ser melhor.",Neutro
"Os voluntários foram prestativos e atenciosos.",Positivo
"O abrigo não tinha espaço suficiente para todos.",Negativo
"Não encontrei o que precisava, mas entendo a situação.",Neutro
"As instalações sanitárias estavam impecáveis.",Positivo
"A fila para entrar estava muito longa.",Negativo
"O sistema de atendimento foi eficiente.",Positivo
"A sinalização poderia ser melhor.",Neutro
